영어	한국어	분야
Abstract	초록	공통
Acknowledgement	감사의 글	공통
Algorithm	알고리즘	공통
Analysis	분석	공통
Appendix	부록	공통
Approach	접근법	공통
Assumption	가정	공통
Baseline	베이스라인	공통
Benchmark	벤치마크	공통
Bibliography	참고문헌	공통
Citation	인용	공통
Conclusion	결론	공통
Contribution	기여	공통
Correlation	상관관계	공통
Dataset	데이터셋	공통
Discussion	논의	공통
Evaluation	평가	공통
Experiment	실험	공통
Figure	그림	공통
Framework	프레임워크	공통
Hypothesis	가설	공통
Implementation	구현	공통
Introduction	서론	공통
Limitation	한계	공통
Literature Review	문헌 검토	공통
Methodology	방법론	공통
Metric	지표	공통
Motivation	동기	공통
Objective	목적	공통
Observation	관찰	공통
Overview	개요	공통
Parameter	파라미터	공통
Performance	성능	공통
Pipeline	파이프라인	공통
Preliminary	예비	공통
Procedure	절차	공통
Proposition	명제	공통
Protocol	프로토콜	공통
Reference	참조	공통
Related Work	관련 연구	공통
Result	결과	공통
Section	섹션	공통
Setting	설정	공통
Significance	유의성	공통
State-of-the-art	최신 기술	공통
Statistical	통계적	공통
Summary	요약	공통
Survey	조사	공통
Table	표	공통
Theorem	정리	공통
Validation	검증	공통
Variable	변수	공통
Activation Function	활성화 함수	딥러닝
Adam	아담	딥러닝
Attention	어텐션	딥러닝
Autoencoder	오토인코더	딥러닝
Backpropagation	역전파	딥러닝
Batch Normalization	배치 정규화	딥러닝
Batch Size	배치 크기	딥러닝
BERT	BERT	딥러닝
Bias	편향	딥러닝
Bidirectional	양방향	딥러닝
Classification	분류	딥러닝
Clustering	클러스터링	딥러닝
CNN	CNN	딥러닝
Convolution	합성곱	딥러닝
Convolutional Neural Network	합성곱 신경망	딥러닝
Cross-entropy	교차 엔트로피	딥러닝
Cross-validation	교차 검증	딥러닝
Decoder	디코더	딥러닝
Deep Learning	딥러닝	딥러닝
Dense Layer	완전 연결층	딥러닝
Discriminator	판별자	딥러닝
Dropout	드롭아웃	딥러닝
Embedding	임베딩	딥러닝
Encoder	인코더	딥러닝
Epoch	에포크	딥러닝
Feature	특징	딥러닝
Feature Extraction	특징 추출	딥러닝
Feature Map	특징 맵	딥러닝
Feedforward	순방향	딥러닝
Fine-tuning	파인튜닝	딥러닝
Fully Connected	완전 연결	딥러닝
GAN	GAN	딥러닝
Generative Adversarial Network	생성적 적대 신경망	딥러닝
Generator	생성자	딥러닝
Gradient	기울기	딥러닝
Gradient Descent	경사 하강법	딥러닝
GPT	GPT	딥러닝
GRU	GRU	딥러닝
Hidden Layer	은닉층	딥러닝
Hyperparameter	하이퍼파라미터	딥러닝
Inference	추론	딥러닝
Input Layer	입력층	딥러닝
Kernel	커널	딥러닝
Latent Space	잠재 공간	딥러닝
Layer	층	딥러닝
Learning Rate	학습률	딥러닝
Linear	선형	딥러닝
Loss Function	손실 함수	딥러닝
LSTM	LSTM	딥러닝
Machine Learning	머신러닝	딥러닝
Max Pooling	최대 풀링	딥러닝
Mean Squared Error	평균 제곱 오차	딥러닝
Mini-batch	미니배치	딥러닝
Model	모델	딥러닝
Multi-head Attention	다중 헤드 어텐션	딥러닝
Neural Network	신경망	딥러닝
Neuron	뉴런	딥러닝
Nonlinear	비선형	딥러닝
Normalization	정규화	딥러닝
Optimizer	옵티마이저	딥러닝
Output Layer	출력층	딥러닝
Overfitting	과적합	딥러닝
Padding	패딩	딥러닝
Perceptron	퍼셉트론	딥러닝
Pooling	풀링	딥러닝
Pre-training	사전학습	딥러닝
Prediction	예측	딥러닝
Recurrent Neural Network	순환 신경망	딥러닝
Regularization	정규화	딥러닝
Reinforcement Learning	강화학습	딥러닝
ReLU	ReLU	딥러닝
Representation Learning	표현 학습	딥러닝
ResNet	ResNet	딥러닝
RNN	RNN	딥러닝
Self-attention	셀프 어텐션	딥러닝
Semantic	의미적	딥러닝
Sequence-to-sequence	시퀀스 투 시퀀스	딥러닝
SGD	SGD	딥러닝
Sigmoid	시그모이드	딥러닝
Softmax	소프트맥스	딥러닝
Stride	스트라이드	딥러닝
Supervised Learning	지도 학습	딥러닝
Tensor	텐서	딥러닝
Token	토큰	딥러닝
Tokenization	토큰화	딥러닝
Training	학습	딥러닝
Transfer Learning	전이 학습	딥러닝
Transformer	트랜스포머	딥러닝
Underfitting	과소적합	딥러닝
Unsupervised Learning	비지도 학습	딥러닝
Vanishing Gradient	기울기 소실	딥러닝
VAE	VAE	딥러닝
Variational Autoencoder	변분 오토인코더	딥러닝
Vector	벡터	딥러닝
VGG	VGG	딥러닝
Weight	가중치	딥러닝
Word Embedding	단어 임베딩	딥러닝
Accuracy	정확도	통계/평가
ANOVA	분산분석	통계/평가
AUC	AUC	통계/평가
Confidence Interval	신뢰 구간	통계/평가
F1 Score	F1 점수	통계/평가
False Negative	거짓 음성	통계/평가
False Positive	거짓 양성	통계/평가
Ground Truth	정답	통계/평가
IoU	IoU	통계/평가
mAP	mAP	통계/평가
Mean	평균	통계/평가
Median	중앙값	통계/평가
p-value	p값	통계/평가
Precision	정밀도	통계/평가
Probability	확률	통계/평가
Recall	재현율	통계/평가
